,No 2 Delivered USG,No 2 Delivered PNW,Santos FOB Price Spot,Paranagua FOB Price Spot,Brazilian Soybeans CIF Rotterdam Position 1
mean,0.8189148713473466,0.9526434426229506,0.5323999323632187,0.3785441004308053,1.482448383677228
median,0.7565398432397137,0.9037500000000014,0.7141560526888746,0.51421048334422,1.441924667973002
variance,0.17667733276204842,0.10355392409634497,0.8798250412196774,0.7355838484456887,0.2012913284778073
standard deviation,0.4220633554432507,0.32312496290268294,0.9418579099588598,0.8611986146091644,0.4505051533289836
skewness,-0.0011469061364291727,-0.00017920723783020013,8.340806512628568e-06,0.00010266698608420397,-0.00018278989569889005
kurtosis,856.4929214027973,554.1718288361523,1273.3270568398025,823.957387456569,575.9879580360265
