,Paraguana Bunge,Santarem Cargill,Santos ADM
Paraguana Bunge,1.0,-0.21239997180843198,0.24127523326570383
Santarem Cargill,-0.21239997180843198,1.0,0.18419947007660814
Santos ADM,0.24127523326570383,0.18419947007660814,1.0
