y = US_Export_China,Coefficient,SE,t-stat,p-value,significance
Ocean_USG,-7330.408229791559,7367.259532805164,-0.9949979632386354,0.3227,
Ocean_PNW,3800.0680983294733,5226.6826237398245,0.7270516256467143,0.46929,
Ocean_Canal,-798.5777766080573,17123.782902864587,-0.046635593381323795,0.96292,
Ocean_Cape,5940.114416350145,17106.370435389552,0.34724574910767003,0.72931,
Constant,3029.5398901058943,1690.540750743785,1.7920537489397943,0.07686,
