Date,No 2 Delivered USG,No 2 Delivered PNW,Santos FOB Price Spot,Paranagua FOB Price Spot,Brazilian Soybeans CIF Rotterdam Position 1
2010-01-31,0.7127650772915288,0.9900000000000002,0.37039625517091146,0.37039625517091146,1.1991029827999125
2010-02-28,0.6794186806009144,1.0099999999999998,0.7205138253864583,0.480474635314609,1.2808774221641634
2010-03-31,0.5780252558240804,1.33,0.2503527106466361,0.19047898976703692,1.5822708469409967
2010-04-30,0.4577106466361851,0.875,0.3303429131286748,0.17031678641410863,1.712337252340518
2010-05-31,0.7193865665142614,0.8925000000000001,0.4077710646636188,0.28775146962769504,1.9794562377531033
2010-06-30,1.0029708251687364,0.9450000000000003,0.29047354670150227,0.21046048334422096,1.8719562377531034
2010-07-31,1.0583877639886783,0.7050000000000001,0.28547245808839605,0.24546592640975362,2.48120509470934
2010-08-31,1.359418680600914,1.1899999999999995,0.9354038754626597,0.8053146091878958,2.7520269976050518
2010-09-30,1.1434732201175706,0.5124999999999993,1.1129920531243194,1.0128396472893524,1.8842744393642494
2010-10-31,0.9775353799259747,0.7200000000000006,0.9704593947311118,0.8705791421728719,0.6917744393642504
2010-11-30,0.950415850206836,0.75,0.9653842804267363,0.7604528630524712,2.630962333986501
2010-12-31,0.6659726758110178,0.7925000000000004,0.46294633137383023,0.3380279773568464,1.7249210755497497
2011-01-31,0.7374613542347035,0.8399999999999999,0.5804289135641181,0.4606814718049197,1.532421075549749
2011-02-28,0.8078069888961465,0.8774999999999995,0.6480530154583057,0.4480203570650989,1.4939053995210116
2011-03-31,0.5450615066405415,0.8775000000000013,0.19806607881559124,-0.012036250816459315,1.252932179403441
2011-04-30,0.7257767254517731,0.5824999999999996,0.2881542564772488,0.03804539516655758,1.2630072937078154
2011-05-31,0.6967820596559999,1.1099999999999994,0.5405660788155906,0.2904572175048994,1.2228543435662953
2011-06-30,0.904134008273461,1.1075,1.0581727629000657,0.4379354452427613,1.6337769431743965
2011-07-31,0.8881553450903557,0.9774999999999991,1.2580116481602452,0.8280094709340293,2.1144780100152385
2011-08-31,0.5094556934465491,0.8399999999999999,1.1305094709340313,0.35051817983888434,0.7233681689527547
2011-09-30,0.4481885477901173,0.47000000000000064,0.6806074461136529,0.515410407141303,1.8122207707380813
2011-10-31,0.7624700631395616,0.8350000000000009,0.8656161550185075,0.545563901589377,1.671462007402571
2011-11-30,0.7653902677988249,1.1775000000000002,0.9730432179403437,0.5928450903548868,1.701869693011103
2011-12-31,0.6948933159155253,1.075000000000001,0.8905715218811245,0.560449597213152,1.728803614195515
2012-01-31,0.9021728717613762,0.9599999999999991,1.1005726104942308,0.7704506858262565,1.6013346396690604
2012-02-29,0.8136718920095802,1.1050000000000004,1.0956226866971477,0.6454811669932514,0.8291846287829312
2012-03-31,0.6268147180492054,0.5700000000000003,-0.19944263008926555,-0.3396015676028732,1.3738754626605711
2012-04-30,0.7372000870890503,0.9800000000000022,-1.179575440888307,-1.449551491399955,1.342490453700447
2012-05-31,0.7506096233398658,1.1899999999999995,-0.23948399738732817,-0.5794034400174191,1.3111054447403236
2012-06-30,0.8541568691487065,0.6325000000000003,-1.4771080992815158,-1.3570885042455902,1.2797204357802003
2012-07-31,1.901691704768126,1.3000000000000007,-3.559608099281517,-1.9294099716960584,1.248335426820077
2012-08-31,1.029341389070325,0.995000000000001,-3.994608099281516,0.14565969954278302,1.2169504178599537
2012-09-30,0.912218593511863,0.6699999999999982,0.040511648160240554,-0.19952754191160516,1.1855654088998304
2012-10-31,0.9868364903113456,1.1500000000000004,0.20058567385151171,0.0655976485956895,1.1541803999397071
2012-11-30,1.1570787067276296,1.4625000000000004,0.6056961680818631,0.26550457217504864,1.1227953909795838
2012-12-31,1.3157114086653596,1.6024999999999991,0.5955938384498172,0.2556743958197263,1.0914103820194605
2013-01-31,1.2713466144132362,1.3949999999999978,0.5106782059656005,0.26056934465490755,1.0600253730593372
2013-02-28,0.861680274330503,1.5874999999999986,0.23817711735249425,0.24062649684302073,1.0286403640992139
2013-03-31,0.8009106248639242,0.5625,0.1006602438493367,0.2506166993250609,0.9972553551390905
2013-04-30,1.2976251905072935,1.1824999999999992,-1.5820286305247109,-0.7070558458523823,0.965870346178967
2013-05-31,1.297234922708471,1.2599999999999998,-1.4994121489222731,-1.999629871543652,1.7081863705639027
2013-06-30,0.05280100152405787,1.0250000000000021,-2.5669464402351387,-2.996948617461353,0.9672360113215746
2013-07-31,0.6188068800348354,1.0,-0.9694796429349015,-1.3894121489222737,1.0107075985194864
2013-08-31,1.3233572828216857,1.08,-0.027067276290006603,-0.5270128456346619,0.5624167210973212
2013-09-30,1.2964386022207712,1.5024999999999995,0.775537230568256,-0.09453679512301427,1.6347251251905064
2013-10-31,1.4942559329414333,1.6174999999999997,0.9379746353146086,0.36808567385151214,1.75225723927716
2013-11-30,1.2109851948617472,1.6850000000000005,0.7230143696930096,0.47290550838232015,1.576214892227302
2013-12-31,1.1467178314826914,1.5649999999999995,0.730595471369476,0.6505824080121929,2.559193337687784
2014-01-31,1.4640850206836475,1.3224999999999998,0.6830051164816027,-0.26708197256695065,1.612952863052472
2014-02-28,1.1979637491835398,1.0374999999999996,0.693119420857828,-0.037067820596561774,1.8709988025255821
2014-03-31,0.9973829740910087,0.8200000000000003,0.13057478772044462,-0.429516655780537,1.5041323753538016
2014-04-30,0.8777275201393433,0.9025000000000016,0.02806499020248232,-2.5143909209666884,1.1523301763553224
2014-05-31,0.9476436969301112,1.2174999999999994,-1.872136403222294,-2.222125517091225,0.9204283692575661
