,Ocean_USG,Ocean_PNW,Ocean_Canal,Ocean_Cape,Constant
Ocean_USG,54276513.02370856,-19254452.11184815,-41782180.96341389,1941077.1393983786,1338024.297593787
Ocean_PNW,-19254452.111846425,27318211.249303814,-39983931.45500153,53580904.46600631,1811464.144385305
Ocean_Canal,-41782180.96342325,-39983931.454996906,293223940.9044375,-276531317.4135794,-20428704.1864145
Ocean_Cape,1941077.1394083602,53580904.46600272,-276531317.41358674,292627909.47276974,19993510.487978492
Constant,1338024.2975944956,1811464.1443850135,-20428704.18641481,19993510.487978272,2857928.029925361
