y = Brazil_Export_China,Coefficient,SE,t-stat,p-value,significance
Barreirias,-1702.2146851082362,1566.4793880636241,-1.0866499093948494,0.29012,
Sorriso,3118.5929974531828,1798.2631912058778,1.7342250081657509,0.09827,
RioVerde,-6492.361494088502,1438.7371503022407,-4.51254177507311,0.00021,***
PontaGrossa,4195.035568179839,1066.8449429947232,3.93218864252571,0.00082,***
Rondonopolis,519.4767211929975,2243.9454960913254,0.23150148793625402,0.81928,
Constant,3699.427198542762,1213.7055203601408,3.048043480468835,0.00635,**
