y = US_Export_China,Coefficient,SE,t-stat,p-value,significance
Ayr,5055.461305947389,1206.0702817762044,4.191680520062319,7e-05,***
Alberta,-2449.5518068048405,2529.541046183875,-0.9683779634650688,0.33577,
Jasper,4908.416050642525,3400.6395593009765,1.4433802715779387,0.15282,
Ida Grove,-4595.9948946670775,3679.7937305638325,-1.248981663426787,0.21531,
St Joseph,-1410.7716553361315,1402.0118807090882,-1.0062480031357601,0.31733,
Constant,5678.769844962411,1133.5410415537028,5.009761126230358,0.0,***
