,BRL=,DCV (USDbu),DCV (USDcar)
DCV (USDcar),-0.34872655358965254,0.9999999999999994,1.0
DCV (USDbu),-0.34872655358965315,1.0,0.9999999999999994
BRL=,1.0,-0.34872655358965315,-0.34872655358965254
