,Paraguana Bunge,Santarem Cargill,Santos ADM
Paraguana Bunge,11.657343797519445,-3.211106890578187,4.439414180093387
Santarem Cargill,-3.211106890578187,19.606542297794338,4.395436396745713
Santos ADM,4.439414180093387,4.395436396745713,29.041980977513223
