,Barge CAR-MEM,Barge CINC,Barge ILL,Barge LOH,Barge MM,Barge ST LOUIS,Barge TWC
Barge TWC,0.7335469963569855,0.7626457342563305,0.7830213520409646,0.7530824146166097,0.9287010006955791,0.7934640935932941,1.0000000000000002
Barge MM,0.820689391102582,0.8275458506522928,0.8701073790148377,0.820079314030999,0.9999999999999998,0.8802234173393507,0.9287010006955791
Barge ILL,0.8460576443318849,0.8495205973976437,1.0,0.8440377310299018,0.8701073790148377,0.894499360323246,0.7830213520409646
Barge ST LOUIS,0.9529704238472512,0.9322058258281427,0.894499360323246,0.9257530918264023,0.8802234173393507,1.0,0.7934640935932941
Barge CINC,0.9271980109253968,1.0,0.8495205973976437,0.9919110847405873,0.8275458506522928,0.9322058258281427,0.7626457342563305
Barge LOH,0.9221821833434692,0.9919110847405873,0.8440377310299018,1.0,0.820079314030999,0.9257530918264023,0.7530824146166097
Barge CAR-MEM,1.0,0.9271980109253968,0.8460576443318849,0.9221821833434692,0.820689391102582,0.9529704238472512,0.7335469963569855
