,Estimation Statistics
r**2,0.6577930412794387
Adj. r**2,0.5677385784582142
f-stat,7.304391372423212
EST Var,1554972.8378534275
MSE,1246.985500257893
SSE,29544483.919215124
SSR,56790650.90584674
SST,86335134.8250602
Obs.,25.0
DOF,19.0
