,Brazil Cape Hope to China,Brazil Panama Canal to China,PNW to China,USG to China
USG to China,0.9769902088622772,0.9870434324760016,0.8115434085316545,1.0000000000000002
PNW to China,0.7238536824602871,0.7560953168430093,0.9999999999999998,0.8115434085316545
Brazil Panama Canal to China,0.997236755890711,1.0000000000000002,0.7560953168430093,0.9870434324760016
Brazil Cape Hope to China,1.0,0.997236755890711,0.7238536824602871,0.9769902088622772
