,Brazil Cape Hope to China,Brazil Panama Canal to China,PNW to China,USG to China
USG to China,0.07953387691822623,0.08710471797608732,0.029356138187077472,0.07192171915858452
PNW to China,0.02963738203914407,0.03355900475630171,0.018193417152701986,0.029356138187077472
Brazil Panama Canal to China,0.09961060426465228,0.10828062943978695,0.03355900475630171,0.08710471797608732
Brazil Cape Hope to China,0.09214331299076302,0.09961060426465228,0.02963738203914407,0.07953387691822623
