,Barge TWC,Barge MM,Barge ILL,Barge ST LOUIS,Barge CINC,Barge LOH,Barge CAR-MEM,BRL=
mean,0.8334285030961991,0.6666495124423968,0.5656943133640547,0.38126838709677435,0.48466043951612925,0.41677271774193564,0.2686597384792629,3.312594930875577
median,0.8125245468749998,0.6397300000000002,0.54288,0.34683075,0.43441125,0.3666299999999999,0.24256500000000003,3.3137999999999996
variance,0.02678426768663304,0.03474968745998055,0.031685788102371854,0.021720006042034185,0.041957265040993334,0.031485949137280395,0.01358965021410038,0.5241698217715394
standard deviation,0.16384787187443112,0.1866278135213226,0.17821045267351798,0.14754717116504004,0.2050711194597354,0.17764758640395145,0.11670919024470203,0.7248312739061716
skewness,-0.007479776639098874,-0.005076141327845256,-0.0038401287597392493,-0.009370286243904966,-0.0037077139324835605,-0.004274499407566538,-1.1022571424559584e+68,0.06390952758609726
kurtosis,2332.377161210052,2777.5320981629784,2646.2285650957165,3281.2095757048974,3092.751562150929,3054.3258760207277,5238.50653360125,1062.5494070321952
