Date,Barge TWC,Barge MM,Barge ILL,Barge ST LOUIS,Barge CINC,Barge LOH,Barge CAR-MEM,BRL=
2013-01-01,1.0102079999999998,0.7999380000000001,0.696,0.53865,0.49245000000000005,0.4242,0.2355,2.0475
2013-01-08,0.9851384999999998,0.7722360000000001,0.5185199999999999,0.40698,0.386925,0.3333,0.18133500000000002,2.0413
2013-01-15,0.9600689999999998,0.7445340000000001,0.48372,0.33815249999999997,0.34823250000000006,0.29997,0.18369000000000002,2.0355
2013-01-22,0.9349994999999999,0.7168320000000001,0.46353599999999995,0.33516,0.32642400000000005,0.281184,0.176154,2.0426
2013-01-29,0.9099299999999999,0.6891300000000001,0.45935999999999994,0.32618250000000004,0.316575,0.2727,0.17191500000000004,1.9855
2013-02-05,0.8848604999999999,0.6614280000000001,0.4500799999999999,0.29725500000000005,0.2931250000000001,0.25250000000000006,0.18055000000000002,1.9836
2013-02-12,0.859791,0.6337260000000001,0.45239999999999997,0.29924999999999996,0.302505,0.25654000000000005,0.17270000000000002,1.968
2013-02-19,0.8347215,0.6060240000000001,0.45239999999999997,0.29924999999999996,0.30954000000000004,0.26664,0.17427,1.9535
2013-02-26,0.809652,0.5783220000000001,0.45472,0.30403800000000003,0.30954000000000004,0.26664,0.17427,1.9815
2013-03-05,0.7845825000000001,0.55062,0.45239999999999997,0.29924999999999996,0.32361000000000006,0.27876,0.17427,1.9641
2013-03-12,0.7595130000000001,0.54264,0.45239999999999997,0.29924999999999996,0.31423,0.27068000000000003,0.17427,1.9644
2013-03-19,0.7344435000000001,0.49795200000000006,0.42734399999999995,0.29924999999999996,0.292656,0.252096,0.17427,1.9845
2013-03-26,0.7093740000000002,0.47613999999999995,0.4083199999999999,0.29326500000000005,0.288435,0.24846,0.16642,2.017
2013-04-02,0.6843045000000002,0.4628400000000001,0.3654,0.2783025,0.2722545,0.234522,0.16956,2.0186
2013-04-09,0.659235,0.4668300000000001,0.39671999999999996,0.27231749999999993,0.27788250000000003,0.23937,0.16956,1.9805
2013-04-16,0.727325,0.49742000000000014,0.38047999999999993,0.269325,0.27671,0.23836000000000002,0.17112999999999998,1.986
2013-04-23,0.7582,0.49808,0.19024,0.266931,0.274365,0.23634,0.16956,2.0245
2013-04-30,0.7892250000000001,0.49875,0.0,0.26334,0.2708475,0.23331,0.16956,2.001
2013-05-07,0.7195874999999999,0.4867800000000001,0.4002,0.26334,0.26732999999999996,0.23028,0.16956,2.0075
2013-05-14,0.6731625,0.4628400000000001,0.38628,0.26334,0.26732999999999996,0.23028,0.16720500000000002,2.0199
2013-05-21,0.6375700000000001,0.45752000000000004,0.38047999999999993,0.261345,0.26732999999999996,0.23028,0.16956,2.0406
2013-05-28,0.6716150000000002,0.4734800000000001,0.43151999999999996,0.25934999999999997,0.26732999999999996,0.23028,0.16956,2.0749
2013-06-04,0.73661,0.5054000000000001,0.43848000000000004,0.265335,0.27202,0.23432000000000003,0.17112999999999998,2.1249
2013-06-11,0.659235,0.4867800000000001,0.4071599999999999,0.2603475,0.26732999999999996,0.23028,0.176625,2.1318
2013-06-18,0.66852,0.47880000000000006,0.41063999999999995,0.26334,0.26732999999999996,0.23028,0.18133500000000002,2.18
2013-06-25,0.7180400000000002,0.5346599999999999,0.4500799999999999,0.2793,0.297815,0.25654000000000005,0.18525999999999998,2.2137
2013-07-02,0.7056600000000001,0.49476,0.42688000000000004,0.269325,0.29547,0.25452,0.18055000000000002,2.254
2013-07-09,0.6747099999999999,0.47613999999999995,0.40135999999999994,0.27132,0.297815,0.25654000000000005,0.18055000000000002,2.2561
2013-07-16,0.6623300000000008,0.47880000000000006,0.39208000000000004,0.26733,0.28140000000000004,0.2424,0.17427,2.2528
2013-07-23,0.6313799999999999,0.46815999999999997,0.36888,0.26334,0.28140000000000004,0.2424,0.17427,2.2127
2013-07-30,0.609715,0.44422,0.3595999999999999,0.25934999999999997,0.29078,0.25048,0.17741,2.2825
2013-08-06,0.62519,0.4734800000000001,0.39671999999999996,0.27531,0.38927000000000006,0.33531999999999995,0.19154000000000002,2.2985
2013-08-13,0.6870900000000001,0.5639200000000001,0.48952,0.36907500000000004,0.50652,0.43632,0.26219,2.3136
2013-08-20,0.683995,0.5719,0.49415999999999993,0.36907500000000004,0.51121,0.4403599999999999,0.27318,2.3933
2013-08-27,0.71185,0.6117999999999999,0.5452,0.424935,0.5510750000000001,0.47470000000000007,0.30615000000000003,2.3712
2013-09-03,0.77761875,0.6723150000000001,0.5915999999999999,0.46383749999999996,0.60676875,0.522675,0.36502500000000004,2.3582
2013-09-10,0.8294600000000001,0.7128800000000001,0.6310399999999999,0.5286750000000001,0.644875,0.5555,0.40035000000000004,2.2833
2013-09-17,1.02135,0.8857800000000001,0.7656000000000001,0.6443850000000001,0.8864100000000001,0.76356,0.52595,2.2555
2013-09-24,1.0306350000000002,0.90972,0.7771999999999999,0.708225,0.9497250000000002,0.8180999999999999,0.5809,2.2005
2013-10-01,1.13277,0.9735600000000002,0.8282399999999999,0.70623,0.9286200000000001,0.79992,0.54165,2.2149
2013-10-08,1.067775,0.90972,0.7656000000000001,0.628425,0.8301300000000001,0.7150799999999999,0.44744999999999996,2.2109
2013-10-15,1.142055,0.9975,0.87,0.6523650000000001,0.8864100000000001,0.76356,0.45216,2.1769
2013-10-22,1.14515,1.0065439999999999,0.8918079999999999,0.6802950000000001,0.9764579999999999,0.8411280000000001,0.48199,2.172
2013-10-29,1.04611,0.9443,0.86072,0.67032,1.020075,0.8787,0.5651999999999999,2.184
