,Paraguana Bunge,Santarem Cargill,Santos ADM,BRL=
mean,4.1755257936507935,4.768603174603173,7.245742063492065,3.1552535714285717
median,3.13,3.1212500000000003,6.385,3.2424999999999997
variance,11.518565895168022,19.373131079963454,28.696243108733306,0.44027124010629237
standard deviation,3.414285254269105,4.427927539808476,5.389061233416561,0.6675145787761173
skewness,-0.022304485621134188,-0.009459839336955421,-0.011247043580407078,0.05095420123114654
kurtosis,207.4462929822738,395.5583813148689,366.1977898067189,154.04625026294715
