Date,BRL =
2014-01-23,2.3997
2014-01-24,2.3976
2014-01-27,2.4228
2014-01-28,2.4215
2014-01-29,2.4374
2014-01-30,2.4088
2014-01-31,2.4128
2014-02-03,2.4402
2014-02-04,2.4054
2014-02-05,2.4023
2014-02-06,2.3818
2014-02-07,2.3793
2014-02-10,2.4101
2014-02-11,2.4005
2014-02-12,2.426
2014-02-13,2.3937
2014-02-14,2.3889
2014-02-17,2.3901
2014-02-18,2.3959
2014-02-19,2.3938
2014-02-20,2.37
2014-02-21,2.3457
2014-02-24,2.3412
2014-02-25,2.3412
2014-02-26,2.3489
2014-02-27,2.3191
2014-02-28,2.3435
2014-03-05,2.3186
2014-03-06,2.3238
2014-03-07,2.341
2014-03-10,2.3506
2014-03-11,2.3639
2014-03-12,2.3556
2014-03-13,2.3637
2014-03-14,2.3467
2014-03-17,2.3491
2014-03-18,2.334
2014-03-19,2.3483
2014-03-20,2.3279
2014-03-21,2.325
2014-03-24,2.3229
2014-03-25,2.3113
2014-03-26,2.3028
2014-03-27,2.2588
2014-03-28,2.2614
2014-03-31,2.272
2014-04-01,2.2609
2014-04-02,2.2688
2014-04-03,2.2794
2014-04-04,2.2358
2014-04-07,2.2189
2014-04-08,2.2017
2014-04-09,2.1869
2014-04-10,2.207
2014-04-11,2.2186
2014-04-14,2.2136
2014-04-15,2.2325
2014-04-16,2.2434
2014-04-17,2.2362
2014-04-22,2.2377
2014-04-23,2.2219
2014-04-24,2.2141
2014-04-25,2.2441
2014-04-28,2.2234
2014-04-29,2.2363
2014-04-30,2.2327
2014-05-02,2.222
2014-05-05,2.2449
2014-05-06,2.2295
2014-05-07,2.2166
2014-05-08,2.2152
2014-05-09,2.2127
2014-05-12,2.2143
2014-05-13,2.2149
2014-05-14,2.2021
2014-05-15,2.2188
2014-05-16,2.2152
2014-05-19,2.207
2014-05-20,2.2158
2014-05-21,2.2072
2014-05-22,2.221
2014-05-23,2.2233
2014-05-26,2.2243
2014-05-27,2.2379
2014-05-28,2.2325
2014-05-29,2.2241
2014-05-30,2.2413
2014-06-02,2.2768
2014-06-03,2.2807
2014-06-04,2.2784
2014-06-05,2.2616
2014-06-06,2.2471
2014-06-09,2.2288
2014-06-10,2.222
2014-06-11,2.2336
2014-06-12,2.236
2014-06-13,2.2243
2014-06-16,2.2355
2014-06-17,2.262
2014-06-18,2.2278
2014-06-20,2.2301
2014-06-23,2.221
2014-06-24,2.2248
2014-06-25,2.2078
2014-06-26,2.1967
2014-06-27,2.1937
2014-06-30,2.2145
2014-07-01,2.2018
2014-07-02,2.2249
2014-07-03,2.2102
2014-07-04,2.221
2014-07-07,2.2257
2014-07-08,2.212
2014-07-09,2.213
2014-07-10,2.2214
2014-07-11,2.2208
2014-07-14,2.2107
2014-07-15,2.2191
2014-07-16,2.2237
2014-07-17,2.2582
2014-07-18,2.2269
2014-07-21,2.2209
2014-07-22,2.2129
2014-07-23,2.2194
2014-07-24,2.2223
2014-07-25,2.2303
2014-07-28,2.2225
2014-07-29,2.2315
2014-07-30,2.2456
2014-07-31,2.2638
2014-08-01,2.2573
2014-08-04,2.259
2014-08-05,2.2815
2014-08-06,2.2728
2014-08-07,2.295
2014-08-08,2.2834
2014-08-11,2.2754
2014-08-12,2.2766
2014-08-13,2.2817
2014-08-14,2.2665
2014-08-15,2.2599
2014-08-18,2.2574
2014-08-19,2.2467
2014-08-20,2.262
2014-08-21,2.2689
2014-08-22,2.2778
2014-08-25,2.2885
2014-08-26,2.2615
2014-08-27,2.247
2014-08-28,2.2421
2014-08-29,2.2362
2014-09-01,2.2461
2014-09-02,2.2435
2014-09-03,2.235
2014-09-04,2.2431
2014-09-05,2.2432
2014-09-08,2.2675
2014-09-09,2.2846
2014-09-10,2.2887
2014-09-11,2.2978
2014-09-12,2.3387
2014-09-15,2.3427
2014-09-16,2.332
2014-09-17,2.3565
2014-09-18,2.3647
2014-09-19,2.3679
2014-09-22,2.3978
2014-09-23,2.4126
2014-09-24,2.3835
2014-09-25,2.4283
2014-09-26,2.4203
2014-09-29,2.4477
2014-09-30,2.4461
2014-10-01,2.481
2014-10-02,2.495
2014-10-03,2.459
2014-10-06,2.4263
2014-10-07,2.3965
2014-10-08,2.3774
2014-10-09,2.3986
2014-10-10,2.429
2014-10-13,2.3943
2014-10-14,2.4003
2014-10-15,2.4525
2014-10-16,2.4728
2014-10-17,2.4354
2014-10-20,2.4649
2014-10-21,2.4823
2014-10-22,2.4872
2014-10-23,2.5
2014-10-24,2.4787
2014-10-27,2.5213
2014-10-28,2.4605
2014-10-29,2.462
2014-10-30,2.404
2014-10-31,2.4779
2014-11-03,2.4955
2014-11-04,2.4955
2014-11-05,2.5079
2014-11-06,2.5698
2014-11-07,2.5645
2014-11-10,2.5525
2014-11-11,2.5563
2014-11-12,2.568
2014-11-13,2.5887
2014-11-14,2.6015
2014-11-17,2.6088
2014-11-18,2.5827
2014-11-19,2.5708
2014-11-20,2.572
2014-11-21,2.5159
2014-11-24,2.5464
2014-11-25,2.5302
2014-11-26,2.5012
2014-11-27,2.5312
2014-11-28,2.5651
2014-12-01,2.5603
2014-12-02,2.5693
2014-12-03,2.5534
2014-12-04,2.5912
2014-12-05,2.5876
2014-12-08,2.6005
2014-12-09,2.5955
2014-12-10,2.6166
2014-12-11,2.65
2014-12-12,2.655
2014-12-15,2.6957
2014-12-16,2.7386
2014-12-17,2.7151
2014-12-18,2.6625
2014-12-19,2.6603
2014-12-22,2.6653
2014-12-23,2.6951
2014-12-24,2.6883
2014-12-26,2.6691
2014-12-29,2.7048
2014-12-30,2.6582
2015-01-02,2.6941
2015-01-05,2.7057
2015-01-06,2.7006
