y = US_Export_China,Coefficient,SE,t-stat,p-value,significance
BRA_USD,-205.4072594097488,390.12326000721424,-0.526518873563064,0.59992,
Constant,2827.8711107225536,1259.6467730578076,2.24497150408115,0.0274,*
