,USG to China,PNW to China,Brazil Panama Canal to China,Brazil Cape Hope to China
mean,1.032297621425345,0.53861382664601,1.179429080904646,0.9486633450471706
median,1.0516002612671458,0.53015458306118,1.1702590899194427,0.9272262138036143
variance,0.07132732478537307,0.01804305833325817,0.10738574820474739,0.09138179800736829
standard deviation,0.26818224989470224,0.13488297577048775,0.3290602216005255,0.3035511703004339
skewness,-0.0050675589907321055,1.2393067465690064e+63,-0.01118975760254037,-0.015249467770861646
kurtosis,345.772993462814,331.70082755692295,345.9270995635586,346.10919813373283
