,BRL=,Barge CAR-MEM,Barge CINC,Barge ILL,Barge LOH,Barge MM,Barge ST LOUIS,Barge TWC
Barge TWC,-0.028153764762924742,0.014027290912216899,0.025625252450117143,0.02286375634184815,0.02192010462586107,0.028398348631322037,0.019182224564415398,0.026846125117779996
Barge MM,-0.02696939216903778,0.017875584166814958,0.03167181381054548,0.02893892492388789,0.027188893690733216,0.03482994077974956,0.024238189342844923,0.028398348631322037
Barge ILL,-0.018176846565613396,0.017596981723262278,0.031046424315017824,0.03175896544210019,0.026721100843984713,0.02893892492388789,0.023520367062767594,0.02286375634184815
Barge ST LOUIS,-0.024473990565642947,0.016410256354069137,0.028206370250245295,0.023520367062767594,0.024265283515558685,0.024238189342844923,0.021770167718805626,0.019182224564415398
Barge CINC,-0.02830282530735116,0.022191264472181043,0.04205416403646907,0.031046424315017824,0.036135707080347794,0.03167181381054548,0.028206370250245295,0.025625252450117143
Barge LOH,-0.0240430652114803,0.019119700919960656,0.036135707080347794,0.026721100843984713,0.0315586649551494,0.027188893690733216,0.024265283515558685,0.02192010462586107
Barge CAR-MEM,-0.008725298546825275,0.013621035087574052,0.022191264472181043,0.017596981723262278,0.019119700919960656,0.017875584166814958,0.016410256354069137,0.014027290912216899
BRL=,0.5253803756324437,-0.008725298546825275,-0.02830282530735116,-0.018176846565613396,-0.0240430652114803,-0.02696939216903778,-0.024473990565642947,-0.028153764762924742
