,Life_Expectancy_at_Birth_log_value,Fertility_Rate_log_value,Population_log_value,Constant
Life_Expectancy_at_Birth_log_value,0.6643183586610598,0.1611484648452434,0.002321152489062535,-3.0067297588347994
Fertility_Rate_log_value,0.1611484648452442,0.06038606315080897,0.00046984714802701953,-0.7478355027877963
Population_log_value,0.002321152489063358,0.0004698471480272164,0.0012464478076140307,-0.02998202774709608
Constant,-3.006729758834813,-0.7478355027877959,-0.0299820277470924,13.93807382517086
