,2013_Life_Expectancy_at_Birth,2013_Fertility_Rate,2013_Population,Constant
2013_Life_Expectancy_at_Birth,51962.68927750212,278052.0406347707,0.00013041480394433998,-4450097.159653707
2013_Fertility_Rate,278052.0406347709,2218875.6839621672,0.0011893351092223598,-25912999.294676922
2013_Population,0.00013041480394435374,0.0011893351092224131,7.109853828168749e-11,-0.015333402105944412
Constant,-4450097.159653707,-25912999.294676915,-0.015333402105943283,388679371.73747104
