,Consumer Price Index,Currency in Circulation,Nominal GDP (GDP),Real GDP (GDPC1)
Real GDP (GDPC1),-452.4347862855649,2189429240.4286127,30096939.183612373,22880262.630523544
Nominal GDP (GDP),-658.9298434007391,3010852945.5238605,40392445.12645871,30096939.183612373
Consumer Price Index,0.10419263445016544,-51060.25041244908,-658.9298434007391,-452.4347862855649
Currency in Circulation,-51060.25041244908,234135110798.84097,3010852945.5238605,2189429240.4286127
