Date,Real GDP (GDPC1),Nominal GDP (GDP),Consumer Price Index,Currency in Circulation
1960-01-01,,,,
1960-04-01,,,,
1960-07-01,,,,
1960-10-01,,,,
1961-01-01,-0.006694941047214464,0.004367472099777503,-1.0,0.009345794392523255
1961-04-01,0.015644451592467634,0.026733569897242404,-1.0,0.0062893081761006275
1961-07-01,0.03010113838331918,0.04043225489549185,inf,0.01552795031055898
1961-10-01,0.06395774269192933,0.07481529886319249,-1.0,0.018575851393188847
1962-01-01,0.07567337651122097,0.0898961135228562,,0.030864197530864113
1962-04-01,0.06727713226025878,0.08067933290732521,inf,0.04062499999999991
1962-07-01,0.06003977369261104,0.07286528650751167,-0.5066225165562911,0.042813455657492394
1962-10-01,0.04307008332458495,0.05454244831315913,,0.03951367781155013
1963-01-01,0.03597858775893181,0.04656295400942412,,0.038922155688622784
1963-04-01,0.0382214372014702,0.04894680911310756,-1.0,0.04504504504504503
1963-07-01,0.04816912675835705,0.05815341520162476,-0.01307189542483811,0.04985337243401755
1963-10-01,0.05158263835975352,0.06803749918338009,inf,0.0584795321637428
1964-01-01,0.06215835107795642,0.07745241863876773,,0.06628242074927959
1964-04-01,0.06180732430442992,0.07768454883827292,,0.06321839080459779
1964-07-01,0.05519819986667662,0.07384194747720518,-0.012903225806449425,0.06145251396648055
1964-10-01,0.051563624698257815,0.06633809321372963,-1.0,0.06077348066298338
1965-01-01,0.054771475886737475,0.0716130554087504,,0.05675675675675684
1965-04-01,0.05659292280884887,0.0759083153325455,inf,0.054054054054053946
1965-07-01,0.06346922615671091,0.08278819879456267,-1.0,0.0552631578947369
1965-10-01,0.08462169736040948,0.10689225447750594,inf,0.0625
1966-01-01,0.08477489783524694,0.10858886303793591,,0.06649616368286448
1966-04-01,0.07490174733793453,0.10242525585771389,0.9501557632398756,0.0692307692307692
1966-07-01,0.06042896625657579,0.09383803780212285,inf,0.06982543640897765
1966-10-01,0.04505002704572991,0.07960671471529057,0.9327217125382257,0.05882352941176472
1967-01-01,0.02925050599168122,0.06086958707306711,,0.05755395683453246
1967-04-01,0.02637486948032075,0.05466215972799349,-0.513636363636364,0.052757793764987904
1967-07-01,0.027384763393392797,0.055628216358929006,-0.027027027027024753,0.05128205128205132
1967-10-01,0.02670862011171815,0.057766572023107976,-0.5133928571428568,0.0532407407407407
1968-01-01,0.038451879810150524,0.077255766018693,inf,0.054421768707483054
1968-04-01,0.05515592602630459,0.10054500502365782,-0.03790087463563152,0.06378132118451019
1968-07-01,0.05336684340654596,0.09892364253328312,0.9193083573487,0.06651884700665178
1968-10-01,0.049595600206505885,0.09823822181682451,0.9145299145299131,0.0703296703296703
1969-01-01,0.04471599002376414,0.09231493302631333,-0.5225352112676374,0.07311827956989236
1969-04-01,0.030671449048257138,0.07992345431661141,0.9002770083103748,0.06638115631691655
1969-07-01,0.029500814269305398,0.08322351641995085,-0.05191256830601121,0.06652806652806653
1969-10-01,0.020466568237684335,0.07243267254114016,-0.05390835579514752,0.06365503080082147
1970-01-01,0.003249397177786273,0.05825112726093962,-0.05835543766571871,0.05811623246492981
1970-04-01,0.0016281827163016072,0.05783334324393974,0.41753926701570765,0.06224899598393585
1970-07-01,0.004225907196300227,0.05447125896640248,-0.05670103092783518,0.06822612085769975
1970-10-01,-0.001667093115099605,0.04860679653266842,-0.05357142857142949,0.06563706563706573
1971-01-01,0.026972442943454578,0.0798668188736682,-1.0,0.0662878787878789
1971-04-01,0.031066227041022687,0.08328469375805136,-0.6816666666666668,0.07372400756143671
