,Consumer Price Index,Currency in Circulation,Nominal GDP (GDP),Real GDP (GDPC1)
Real GDP (GDPC1),-0.2900299566512404,0.9441031153935115,0.9878898291131408,0.9964160366524614
Nominal GDP (GDP),-0.3183702849507016,0.9785534249453013,0.9992929123896424,0.9878898291131408
Consumer Price Index,0.9831755116280132,-0.3240996950429502,-0.3183702849507016,-0.2900299566512404
Currency in Circulation,-0.3240996950429502,0.9996866107309048,0.9785534249453013,0.9441031153935115
