,Real GDP (GDPC1),Nominal GDP (GDP),Consumer Price Index,Currency in Circulation
mean,10077.131785123966,7569.1624999999985,0.3174539146923283,469721.0743801653
median,9291.152,5916.3645,0.3005713294521935,258350.0
variance,22867672.992576886,40253997.29894154,0.10553770425191768,233240705475.20663
standard deviation,4791.926502201864,6357.75324571322,0.3255389685386303,483950.93680285936
skewness,0.01428343859952635,0.027674369028740712,-0.11582065948985464,0.10562868014126138
kurtosis,422.16937847693754,510.1244493532084,1090.7708630432278,813.564185445278
