Date,"Ayr, ND","Alberta, MN","Jasper, MN","Ida Grove, IA","St. Joseph, MO",Barreirias,Sorriso,Rio Verde,Ponta Grossa,Rondonopolis
2013-01-07,-0.0325000000000006,-0.272499999999999,-0.0825000000000013,-0.0525000000000002,-0.0925000000000011,-1.3425,-1.0825,0.337499999999998,-0.422499999999999,-1.3725
2013-01-08,-0.0499999999999989,-0.0500000000000006,-0.0499999999999989,-0.0500000000000007,-0.0499999999999989,-0.609999999999999,-0.0500000000000002,-0.889999999999998,-0.869999999999999,-0.289999999999999
2013-01-11,-0.200000000000001,-0.24,-0.23,-0.24,-0.240000000000002,0.279999999999999,-0.179999999999999,0.0699999999999985,-0.170000000000001,-0.420000000000001
2013-01-14,0.100000000000001,0.199999999999999,0.0999999999999996,0.0999999999999996,0.100000000000001,-0.14,-0.18,-0.669999999999999,-0.24,0.14
2013-01-15,0.422499999999999,0.412500000000001,0.4725,0.412500000000001,0.4425,-0.217499999999999,0.5625,0.732500000000001,0.4525,0.492500000000001
2013-01-16,0.0,0.0499999999999989,0.0,-1.77635683940025e-15,-1.80411241501587e-15,-0.529999999999999,-0.25,-0.22,-0.199999999999999,-0.330000000000001
2013-01-17,-0.00750000000000028,-0.0474999999999994,-0.00750000000000025,0.00250000000000127,0.0025000000000013,0.982499999999999,0.222499999999999,0.3025,-0.0274999999999998,0.012500000000001
2013-01-18,0.0,0.0,0.0,0.0,-1.80411241501587e-15,-0.0500000000000007,0.0799999999999987,-0.13,0.119999999999999,0.0699999999999985
2013-01-22,0.00500000000000078,-0.00500000000000078,0.00500000000000075,-0.0050000000000008,0.0050000000000008,-0.695,-0.305,-0.115,-0.0950000000000007,-0.164999999999999
2013-01-23,-0.00249999999999944,-0.0424999999999986,-0.0024999999999995,0.0175000000000018,-0.0024999999999995,-0.732499999999998,0.137500000000001,0.227500000000001,0.117500000000001,0.207500000000001
2013-01-24,-0.00249999999999955,-0.0024999999999995,-0.0024999999999995,-0.00250000000000127,-0.0024999999999995,0.197499999999999,-0.0824999999999995,-0.022499999999999,-0.1325,-0.262499999999999
2013-01-25,0.00249999999999772,0.0024999999999995,0.0024999999999995,-0.0274999999999998,0.0024999999999995,0.102499999999999,-0.0175,0.0524999999999982,0.122499999999998,0.152499999999998
2013-01-28,0.00250000000000127,-0.00750000000000031,0.0024999999999995,0.00250000000000127,0.00250000000000127,0.3125,-0.107499999999999,0.0125000000000012,-0.107499999999998,-0.167499999999998
2013-01-29,-0.0500000000000006,0.0,0.0,-1.77635683940025e-15,-1.77635683940025e-15,-0.47,0.00999999999999934,-0.0500000000000007,-0.0500000000000007,0.0599999999999987
2013-01-30,-0.0499999999999989,0.0,0.0,0.0,-0.039999999999999,-0.449999999999999,-0.3,-0.14,-0.24,-0.0999999999999996
2013-01-31,0.00249999999999772,-0.0375000000000013,0.0024999999999995,-0.00750000000000028,-0.0375000000000014,0.192499999999999,0.0824999999999995,0.1425,-0.0875000000000003,0.162499999999999
2013-02-01,-0.00749999999999856,0.0025000000000013,-0.00750000000000025,-0.0175,0.00250000000000127,-0.567499999999999,-0.0774999999999992,0.00250000000000127,0.012500000000001,-0.1775
2013-02-04,0.00500000000000083,-0.0849999999999991,0.00500000000000075,0.00500000000000075,-0.0250000000000003,0.105,-0.0150000000000001,0.00499999999999922,-0.195,-0.104999999999998
2013-02-05,0.0024999999999995,0.0024999999999995,0.0024999999999995,-0.00750000000000028,-0.0374999999999996,-0.077500000000001,-0.0274999999999998,-0.127499999999999,0.0124999999999991,-0.0875000000000008
2013-02-06,0.0,0.0,-0.0299999999999993,0.0,0.0,0.109999999999999,0.06,-0.00999999999999978,0.13,0.0599999999999987
2013-02-07,-0.0024999999999995,-0.00250000000000127,-0.0024999999999995,0.00750000000000028,0.00750000000000029,-0.182499999999999,-0.0525000000000002,0.127499999999999,0.0775000000000005,-0.0324999999999993
2013-02-08,-0.0475000000000012,0.00249999999999944,0.0024999999999995,0.0124999999999992,-0.0275000000000016,0.352499999999999,0.232499999999999,0.232499999999999,0.322499999999998,0.102499999999999
2013-02-13,-0.00500000000000078,0.00500000000000083,-0.0050000000000008,0.0150000000000005,0.00500000000000076,-0.0350000000000001,-0.315,-0.0850000000000008,-0.134999999999999,-0.0150000000000005
2013-02-14,1.77635683940025e-15,0.0,0.0,0.0,0.0,-0.0999999999999994,0.0500000000000007,-0.119999999999999,-0.00999999999999978,-0.249999999999997
2013-02-15,0.00500000000000078,-0.004999999999999,0.0050000000000008,-0.004999999999999,-0.00499999999999899,-0.264999999999999,0.0950000000000002,-0.314999999999999,-0.134999999999998,0.00500000000000033
2013-02-19,-0.00750000000000211,0.0024999999999995,-0.00750000000000031,0.00249999999999772,0.0024999999999995,-0.257500000000002,-0.447500000000001,-0.7075,-0.157500000000002,-0.0475000000000029
2013-02-20,0.00500000000000083,0.134999999999999,0.00499999999999906,-0.0249999999999985,0.00499999999999901,-0.244999999999999,-0.145,0.0449999999999999,-0.0149999999999987,-0.0249999999999985
2013-02-25,-0.0149999999999987,-0.0249999999999985,-0.164999999999999,-0.0149999999999987,-0.0649999999999977,0.135000000000002,0.145000000000003,0.115000000000001,0.00500000000000078,0.0150000000000005
2013-02-26,-0.0449999999999999,-0.0050000000000008,0.00500000000000083,-0.0449999999999999,0.004999999999999,-0.035000000000001,-0.0650000000000003,-0.394999999999999,-0.0449999999999998,-0.0450000000000003
