,BRL=,Brazil Cape Hope to China,Brazil Panama Canal to China,PNW to China,USG to China
USG to China,-0.507394776929714,0.9722998594017052,0.9854935710791393,0.7998455106757013,0.9999999999999999
PNW to China,-0.20711174230551646,0.7042109987418199,0.741063179139673,1.0000000000000002,0.7998455106757013
Brazil Panama Canal to China,-0.6288307365592254,0.9964491336901345,1.0,0.741063179139673,0.9854935710791393
Brazil Cape Hope to China,-0.672849191362574,0.9999999999999999,0.9964491336901345,0.7042109987418199,0.9722998594017052
BRL=,1.0000000000000002,-0.672849191362574,-0.6288307365592254,-0.20711174230551646,-0.507394776929714
