,Barreirias,Sorriso,RioVerde,PontaGrossa,Rondonopolis,BRA_USD,Constant
Barreirias,2487896.426896136,-236224.6117978519,-836928.5023235764,639871.8759425059,-1006370.9699823182,-156177.76283263892,701776.0833069845
Sorriso,-236224.611797825,3760207.0914955353,-813416.8146810146,-359456.3728026808,-2485149.2978374762,-1217914.0654953148,7131460.081591583
RioVerde,-836928.5023235771,-813416.8146810055,2092267.6886637106,-842125.3345513924,-43424.58737846402,35487.23096391386,-485423.1901537676
PontaGrossa,639871.875942485,-359456.3728026113,-842125.3345513906,1842841.4513816042,-1309674.9773500431,1444684.9629546697,-7354196.421489512
Rondonopolis,-1006370.9699823206,-2485149.297837575,-43424.58737845549,-1309674.977349982,5368954.791863767,-919233.6568965438,3795118.154649896
BRA_USD,-156177.7628326807,-1217914.0654952032,35487.23096391684,1444684.9629546988,-919233.6568966829,3013231.76248892,-14107297.745018752
Constant,701776.0833071728,7131460.081591086,-485423.19015379675,-7354196.4214896485,3795118.154650543,-14107297.745018756,67535964.68892942
