Date,US_Export_China,Ayr,Alberta,Jasper,Ida Grove,St Joseph,USG,PNW,Barreirias,Sorriso,RioVerde,PontaGrossa,Rondonopolis,Paranagua,Santos,Pecem,Ocean_USG,Ocean_PNW,Ocean_Canal,Ocean_Cape,DCV,TWC,MM,ILL,ST LOUIS,CINC,LOH,CAR-MEM,Barge_Mean,Para_Bunge,Santarem_Cargill,Santos_ADM,BRA_USD,US_Export_China_log,BRA_USD_log
1/1/2013,4616.0,-0.461,-0.322,-0.35100000000000003,-0.297,0.10300000000000001,1.069,1.504,-0.325,-3.4419999999999997,-1.5530000000000002,-0.182,-2.307,0.322,0.5579999999999999,1.06,1.04,0.4,1.22,1.0,-0.017,0.96,0.74,0.52,0.39,0.37,0.32,0.19,0.498571429,5.4,1.6,6.6,2.03,8.437283808187935,0.7080357930536959
2/1/2013,2573.3,-0.444,-0.305,-0.27899999999999997,-0.19399999999999998,0.08900000000000001,0.977,1.43,-2.286,-4.181,-2.1109999999999998,-0.778,-3.06,0.311,0.605,1.0290000000000001,1.07,0.43,1.26,1.04,0.013999999999999999,0.85,0.62,0.45,0.3,0.3,0.26,0.18,0.422857143,9.04,2.44,16.8,1.97,7.852944400898941,0.6780335427498971
3/1/2013,1062.2,-0.598,-0.316,-0.20600000000000002,-0.19399999999999998,0.14300000000000002,0.772,1.266,-3.063,-4.721,-3.467,-1.314,-3.511,-0.021,0.19,0.997,1.13,0.46,1.33,1.1,-0.016,0.75,0.52,0.44,0.3,0.3,0.26,0.17,0.391428571,4.31,2.48,24.16,1.98,6.968097507988299,0.6830968447064438
4/1/2013,683.2,-0.716,-0.322,-0.063,-0.043,0.228,1.113,1.159,-3.085,-4.442,-3.115,-1.496,-3.3289999999999997,-0.38799999999999996,-0.042,0.966,1.06,0.45,1.25,1.02,-0.054000000000000006,0.72,0.48,0.27,0.27,0.27,0.24,0.17,0.34571428600000004,6.1,1.2,26.2,2.0,6.5267876424743605,0.6931471805599453
5/1/2013,265.7,-0.705,-0.39799999999999996,-0.107,-0.025,0.038,1.025,1.305,-3.3489999999999998,-4.171,-3.1839999999999997,-1.6969999999999998,-3.178,-0.728,-1.212,1.7080000000000002,0.98,0.43,1.15,0.94,-0.026000000000000002,0.68,0.47,0.4,0.26,0.27,0.23,0.17,0.354285714,13.15,1.38,12.57,2.04,5.582367852765768,0.712949807856125
6/1/2013,1.0,-0.922,-0.474,-0.214,-0.067,-0.028999999999999998,0.39,1.099,-3.29,-4.172,-2.9960000000000004,-1.723,-3.155,-0.49,-1.694,0.9670000000000001,1.06,0.42,1.25,1.02,-0.012,0.7,0.5,0.43,0.27,0.28,0.24,0.18,0.37142857100000004,10.0,2.35,8.55,2.17,0.0,0.7747271675523681
7/1/2013,1.0,-0.948,-0.535,-0.171,-0.10300000000000001,0.02,-0.721,1.525,-3.0589999999999997,-4.362,-3.122,-2.037,-3.14,-0.11599999999999999,-1.643,1.011,1.1,0.42,1.3,1.07,-0.031,0.66,0.47,0.39,0.27,0.29,0.25,0.18,0.358571429,9.1,1.68,13.72,2.25,0.0,0.8109302162163288
8/1/2013,1.0,-1.165,-0.266,0.179,0.18600000000000003,0.325,0.428,1.2409999999999999,-1.699,-3.122,-2.1,-0.718,-2.354,0.883,-0.179,0.562,1.04,0.42,1.23,1.01,0.012,0.68,0.56,0.48,0.36,0.49,0.42,0.26,0.46428571399999996,11.02,4.35,12.27,2.35,0.0,0.8544153281560676
9/1/2013,295.4,-1.17,-0.332,-0.251,-0.23,0.344,0.9690000000000001,1.232,-0.623,-1.8430000000000002,-0.818,0.569,-1.01,1.044,0.335,1.635,1.28,0.52,1.52,1.27,0.193,0.91,0.8,0.69,0.59,0.77,0.66,0.47,0.698571429,7.9,1.35,19.3,2.27,5.68833037009728,0.8197798314933114
10/1/2013,4486.8,-0.607,-0.5329999999999999,-0.535,-0.45799999999999996,-0.36200000000000004,1.298,1.597,0.257,-0.423,0.915,2.108,0.511,2.575,0.8270000000000001,1.7519999999999998,1.26,0.5,1.49,1.25,0.38,1.11,0.97,0.84,0.67,0.93,0.8,0.5,0.8314285709999999,8.77,1.37,12.2,2.19,8.408895031771069,0.7839015438284094
11/1/2013,7784.9,-0.609,-0.467,-0.42100000000000004,-0.401,-0.114,1.298,1.4909999999999999,-0.46299999999999997,-0.611,0.614,1.53,0.331,2.499,0.8420000000000001,1.5759999999999998,1.28,0.47,1.52,1.27,0.23600000000000002,0.93,0.87,0.85,0.66,0.9,0.78,0.46,0.7785714290000001,10.0,0.4,12.6,2.3,8.95994123897044,0.8329091229351039
