,USG to China,PNW to China,Brazil Panama Canal to China,Brazil Cape Hope to China,BRL=
mean,37.84415087719306,19.60280350877193,42.99534035087713,34.411940350877266,2.955307719298249
median,38.31,19.23,42.4,33.38,3.11165
variance,95.87707620881454,22.354306561391155,147.43163344556518,126.68519669117867,1.1147567542211139
standard deviation,9.793402324841798,4.728863809715879,12.144273630013988,11.257427025732115,1.0560056980116752
skewness,5.5547603189230135e-09,-1.1846524704696544e-08,-6.217369191024322e-06,-2.9886073576383028e-05,0.0034528621215760176
kurtosis,8917.079133965708,9006.639456211049,8843.61393864303,8824.85768069422,7597.162438497088
