,BRL=,Brazil Cape Hope to China,Brazil Panama Canal to China,PNW to China,USG to China
USG to China,-5.24742028863437,107.19461272223549,117.20845350075409,37.042178004384475,95.91072909621673
PNW to China,-1.0342553838810782,37.48855931786472,42.55823279417223,22.362152930840573,37.042178004384475
Brazil Panama Canal to China,-8.064390827479034,136.22782361104225,147.48338200065314,42.55823279417223,117.20845350075409
Brazil Cape Hope to China,-7.998768668546073,126.72966323968383,136.22782361104225,37.48855931786472,107.19461272223549
BRL=,1.1151480342331255,-7.998768668546073,-8.064390827479034,-1.0342553838810782,-5.24742028863437
