,BRL=,Paraguana Bunge,Santarem Cargill,Santos ADM
Paraguana Bunge,-0.32551727844388834,1.0,-0.21239997180843198,0.24127523326570383
Santarem Cargill,0.33219214548544873,-0.21239997180843198,1.0,0.18419947007660814
Santos ADM,-0.3081696381825308,0.24127523326570383,0.18419947007660814,1.0
BRL=,1.0,-0.32551727844388834,0.33219214548544873,-0.3081696381825308
