Date,No 2 Delivered USG,No 2 Delivered PNW,Santos FOB Price Spot,Paranagua FOB Price Spot,Brazilian Soybeans CIF Rotterdam Position 1,BRL=
2010-12-03,0.926304702808622,0.7575000000000003,0.8729626605704333,0.7080377748748088,2.080234596124539,1.687
2010-12-06,0.9267787938166787,0.8550000000000004,0.8356074461136505,0.6804800783801443,2.09159481820161,1.6744
2010-12-07,0.9268419333768776,0.9249999999999989,0.8705062050947081,0.6955116481602435,2.1107086871325915,1.6815
2010-12-08,0.9279817112998039,0.8599999999999994,0.7655062050947077,0.6705247115175244,1.962164162856519,1.6893
2010-12-09,0.9287404746353154,1.0250000000000004,0.8555312431961681,0.7556509906379283,1.9629229261920322,1.7092
2010-12-10,0.9266514260831702,1.1099999999999994,1.0804180274330495,0.6904223818854778,1.9526692793381226,1.7061
2010-12-13,0.9282984977139126,0.9149999999999991,0.8305954713694756,0.6904365338558662,1.9679240148051367,1.693
2010-12-14,0.9279817112998039,1.0699999999999985,0.8354495972131488,0.6754234704985844,1.9240627041149558,1.6966
2010-12-15,0.9284247768343139,1.1050000000000004,0.820652079251035,0.720499673416068,1.9353919007184857,1.7093
2010-12-16,0.9626017853254947,1.0099999999999998,0.8706139777922921,0.7704615719573251,1.9178597866318317,1.7024
2010-12-17,0.9358616372741135,1.0024999999999995,0.8406079904202048,0.7404555845852379,1.869347376442411,1.7133
2010-12-20,0.9151028739386025,1.0274999999999999,1.0680530154583057,0.6279811669932513,1.9710575876333571,1.7057
2010-12-21,0.8894703897234937,0.9775000000000009,0.808096559982582,0.68807696494666,1.9644758327890273,1.6947
2010-12-22,0.8671919224907487,0.9924999999999997,0.9180845852384074,0.7180519268452006,1.9639696276943166,1.6994
2010-12-23,0.8638068800348364,0.8950000000000014,0.915516002612673,0.7154833442194644,1.9279261920313537,1.6898
2010-12-27,0.8737448290877428,0.8200000000000003,0.7605290659699548,0.6704463313738298,1.967801001524057,1.6851
2010-12-28,0.8707386239930326,1.0425000000000004,0.6780541040714123,0.5580345090354886,1.7661229044197686,1.6907
2010-12-29,0.867541911604615,0.9800000000000004,0.7404463313738301,0.6405660788155902,1.7629261920313528,1.6767
2010-12-30,0.8484911822338344,1.0700000000000003,0.7404463313738301,0.6155279773568463,1.752040060962333,1.6597
2010-12-31,0.8594736555628142,0.7925000000000004,0.46294633137383023,0.3380279773568464,1.7249210755497497,1.6593
2011-01-03,0.8549787720444151,0.8374999999999986,0.6829779011539312,0.6829779011539312,1.739476921402133,1.6465
2011-01-04,0.822288264750707,0.9199999999999999,0.7455410407141319,0.6456607881558885,1.7367232745482255,1.6605
2011-01-05,0.7927324188983231,0.9199999999999999,0.5004397996951884,0.4005595471369485,1.7969780100152395,1.6732
2011-01-06,0.7917189200957964,1.0250000000000004,1.0254985848029605,0.6254332680165486,1.78779991291095,1.6851
2011-01-07,0.7813068800348351,1.0324999999999989,0.9530355976485936,0.5731096233398656,1.709349553668627,1.6827
2011-01-10,0.77871271500109,1.0474999999999994,0.7830671674286958,0.6380094709340298,1.7258061180056607,1.6883
2011-01-11,0.7721608970171996,1.2349999999999994,0.5655965599825805,0.605603091661223,1.6484944480731532,1.6829
2011-01-12,0.7668473764424117,0.9100000000000001,0.5306183322447211,0.5306183322447211,1.6132440670585684,1.6726
2011-01-13,0.7486827781406493,1.040000000000001,0.6806444589592875,0.6104289135641192,1.5841933376877844,1.6721
2011-01-14,0.8462780317875023,0.8849999999999998,0.6906063575005437,0.6206629653821043,1.7334977139124756,1.6851
2011-01-17,0.8462780317875023,0.8849999999999998,0.6906063575005437,0.6206629653821043,1.7144469845416932,1.6796
2011-01-18,0.6862459177008482,0.9874999999999989,0.5779289135641186,0.6081379272806444,1.5544148704550391,1.6737
2011-01-19,0.6384291312867418,0.9149999999999991,0.6155682560418025,0.5654920531243182,1.5038765512736774,1.67
2011-01-20,0.6381444589592871,0.6675000000000004,0.457978989767037,0.43811180056607846,1.5035918789462226,1.6733
2011-01-21,0.6771951883300655,0.8574999999999999,0.5481945351622013,0.517985521445679,1.4718827563683856,1.6759
2011-01-24,0.6784922708469416,0.9250000000000007,0.5105736991073382,0.5805170912257775,1.5031166993250586,1.6705
2011-01-25,0.7063389941214897,1.2250000000000014,0.8105736991073389,0.46058458523840784,1.5037480949270634,1.6717
2011-01-26,0.7079218375789242,0.8449999999999989,0.6156618767689963,0.5155094709340293,1.5543185281950809,1.6673
2011-01-27,0.7284922708469423,0.745000000000001,0.5355355976485949,0.43565534509035686,1.5531166993250594,1.6757
2011-01-28,0.7380492053124303,0.9900000000000002,0.9056956237753102,0.5056303069888948,1.562673633790551,1.6818
2011-01-31,0.7377335075114289,0.8399999999999999,0.5804289135641181,0.4606814718049197,1.532421075549749,1.667
2011-02-01,0.7381145220988454,0.7899999999999991,0.7805704332680143,0.3304289135641181,1.5518528195079462,1.6643
2011-02-02,0.7679251034182446,0.75,0.47046157195732796,0.42065752231656894,1.4537513607663843,1.6676
2011-02-03,0.7685575876333566,0.9349999999999987,0.8257097757456986,0.4256444589592867,1.4543838449814928,1.6678
2011-02-04,0.7667853254953183,0.8849999999999998,0.41053668626170037,0.3106564337034605,1.4580546483779653,1.673
2011-02-07,0.766974744175922,1.0350000000000001,0.42569453516220257,0.32554212932723736,1.4528010015240582,1.6784
2011-02-08,0.7674499237970842,0.8675000000000015,0.3581313956020029,0.2781183322447216,1.4532761811452204,1.6645
2011-02-09,0.7686849553668615,0.8599999999999994,0.4254996734160681,0.29568256041802776,1.4218528195079472,1.6566
