Destination,mkt_yr,Bushels(M)
GERMANY,1516,6.834884434
IRAN,1516,6.856263917
UN KINGDOM,1920,7.085353998999999
GERMANY,1819,7.305369333
ARGENTINA,1718,7.481327833000001
PORTUGAL,1516,7.660832466
NICARAGUA,1920,7.662670833
TUNISIA,1617,7.921471166
CANADA,1920,8.008123170000001
TUNISIA,1415,8.111480666999999
HONDURAS,1415,8.211647782
PANAMA,1415,8.349630114
BELGIUM,1819,8.397058167
ITALY,1516,8.446869499
PERU,1718,8.683168167
JAMAICA,1920,9.326788499
YEMEN,1920,9.569325950000001
MOROCCO,1415,9.739826666000003
FRANCE,1516,9.957395333000001
PORTUGAL,1920,10.051088334000001
ALGERIA,1920,10.067121
PERU,1819,10.090378752
EL SALVADOR,1415,10.377657830999999
SAUDI ARABIA,1617,10.451461333000001
ECUADOR,1920,10.477172915999999
CHILE,1920,10.499398115999998
GERMANY,1718,10.815572249
DOMINICN REP,1415,10.831830333
COSTA RICA,1718,10.986445169000001
TUNISIA,1819,11.063422417
COSTA RICA,1819,11.139273167000004
PERU,1516,11.152805669000001
COSTA RICA,1617,11.183147500000002
ITALY,1718,11.744197666
UN KINGDOM,1819,11.747100667
TURKEY,1617,11.760863799
SAUDI ARABIA,1819,11.937833167
COSTA RICA,1516,12.052360665999998
UN KINGDOM,1516,12.145880000000002
ITALY,1415,12.407482916999998
SAUDI ARABIA,1516,13.023582
UN KINGDOM,1415,13.069742334
TUNISIA,1718,13.615503334000001
PORTUGAL,1819,14.619376749
MALAYSIA,1617,15.135108100000052
EL SALVADOR,1920,15.576379668000003
PORTUGAL,1718,16.234987583
SAUDI ARABIA,1415,16.557485002
IRAN,1819,16.598933316000004
MALAYSIA,1718,16.89502471500005
RUSSIA,1415,16.998534414
CANADA,1718,17.303251167000003
PANAMA,1920,17.335988499
MALAYSIA,1516,17.48465131700004
TUNISIA,1516,17.484997664
TURKEY,1718,17.715922551000002
VENEZUELA,1920,17.771655417
VENEZUELA,1415,18.222310999999998
BRAZIL,1415,18.305471232
THAILAND,1516,18.515055834000048
PAKISTAN,1617,19.453808333
GUATEMALA,1415,19.508040484
MALAYSIA,1415,19.592150166000046
PORTUGAL,1415,19.673980832000005
COLOMBIA,1617,19.717056499999998
CANADA,1819,20.142229749
IRAN,1718,20.245779750000004
ITALY,1819,20.699733502
COLOMBIA,1718,21.389826832999997
NIGERIA,1415,21.603751217
ISRAEL,1920,21.640941
MALAYSIA,1819,21.82508216700012
COLOMBIA,1819,22.831686659999995
