,BRL=,DCV (USDbu),DCV (USDcar)
DCV (USDcar),-253.79357301227674,325.0352119559654,1137623.2418458816
DCV (USDbu),-0.07251244943207906,0.09286720341598997,325.0352119559654
BRL=,0.4655783193280139,-0.07251244943207906,-253.79357301227674
