,DCV (USDcar),DCV (USDbu),BRL=
mean,517.7449567723343,0.14792713050638126,3.167150144092219
median,50.0,0.014285714285714285,3.236
variance,1134344.7886993517,0.09259957458770182,0.4642365950648208
standard deviation,1066.5942254887195,0.3047412072824907,0.6823329973905805
skewness,-0.0005631281251932019,-0.0006113645935551205,0.009602178484846428
kurtosis,2471.447566268398,2471.4475662684085,606.1999194583733
