y = GDP_Per_Capita_log_value,Coefficient,SE,t-stat,p-value,significance
Life_Expectancy_at_Birth_log_value,4.751931427093041,0.8150572732397766,5.8301809984524855,0.0,***
Fertility_Rate_log_value,-1.1727693270161126,0.24573575879551793,-4.7724813546244995,0.0,***
Population_log_value,-0.05412989469543561,0.03530506773274951,-1.5332046692329075,0.12699,
Constant,-9.616746095070994,3.733372982327223,-2.575886776004987,0.01081,*
