Country Name,2013_GDP_per_Capita,2013_Life_Expectancy_at_Birth,2013_Fertility_Rate,2013_Population
Panama,10875.924,77.57895122,2.466,3805683
Peru,6540.989,74.81460976,2.417,30565461
Philippines,2790.878,68.7144878,3.043,97571676
Papua New Guinea,2098.131,62.43073171,3.781,7308864
Poland,13435.263,76.84878049,1.3,38040196
Portugal,20995.33,80.37317073,1.28,10457295
Paraguay,4281.096,72.2734878,2.864,6465669
Qatar,98985.986,78.60690244,2.019,2101288
Romania,8873.971,74.46341463,1.53,19983693
Russia,14591.33,71.07317073,1.7,143506911
Rwanda,703.797,63.99397561,4.508,11078095
Saudi Arabia,24953.086,75.70336585,2.644,30201051
Sudan,1941.373,62.0444878,4.42,38515095
Senegal,1047.53,63.35073171,4.934,14221041
Singapore,55182.483,82.34634146,1.19,5399200
Solomon Islands,1936.239,67.71690244,4.031,560685
Sierra Leone,805.134,45.55095122,4.705,6178859
El Salvador,3835.215,72.33892683,2.184,6089644
Serbia,5902.489,75.13658537,1.45,7164132
South Sudan,1289.419,55.24121951,4.92,11453810
Sao Tome and Principe,1688.726108,66.26097561,4.075,182386
Suriname,9205.688,71.03163415,2.268,533450
Slovak Republic,17706.314,76.26097561,1.34,5413393
Slovenia,23316.676,80.27804878,1.58,2059953
Sweden,58014.168,81.70487805,1.91,9600379
Swaziland,3473.391,48.93792683,3.334,1250641
Seychelles,14918.411,74.22682927,2.4,89900
Chad,1218.265,51.15907317,6.263,13145788
Togo,636.543,56.4885122,4.639,6928719
Thailand,5675.8,74.36507317,1.399,67451422
Tajikistan,1044.946,67.37460976,3.815,8111894
Turkmenistan,7157.036,65.46258537,2.326,5240088
Timor-Leste,4142.363,67.52236585,5.2,1180069
Tonga,4572.056,72.64231707,3.767,105139
Trinidad and Tobago,20622.309,69.92521951,1.797,1348240
Tunisia,4316.795,73.64634146,2.25,10886500
Turkey,10721.063,75.17595122,2.041,75010202
Tanzania,719.259,61.49314634,5.214,50213457
Uganda,622.585,59.19,5.867,36573387
Ukraine,3929.973,71.1595122,1.506,45489600
Uruguay,16421.39,77.05141463,2.046,3407969
United States,53000.972,78.84146341,1.8695,316497531
Uzbekistan,1878.413,68.22758537,2.2,30243200
St. Vincent and the Grenadines,6563.096,72.50097561,1.997,109327
"Venezuela, RB",7576.276,74.64309756,2.39,30276045
Vietnam,1901.697,75.7564878,1.743,89708900
Vanuatu,2995.755,71.68682927,3.382,253165
Samoa,4164.97,73.26487805,4.147,190390
Republic of Yemen,1515.946,63.08958537,4.075,25533217
South Africa,6621.122,56.73658537,2.387,53157490
Democratic Republic of the Congo,388.305,49.94385366,5.933,72552861
Zambia,1845.419,58.09278049,5.687,15246086
Zimbabwe,1006.825,59.7734878,3.486,14898092
