,Estimation Statistics
r**2,0.622263136154601
Adj. r**2,0.6158967845163004
f-stat,97.74250175790851
EST Var,0.8158592739538874
MSE,0.9032492867165118
SSE,145.22295076379194
SSR,239.23237955610412
SST,384.4553303197233
Obs.,182.0
DOF,178.0
