y = 2013_GDP_per_Capita,Coefficient,SE,t-stat,p-value,significance
2013_Life_Expectancy_at_Birth,1447.526769540811,227.95326116882407,6.350103359428409,0.0,***
2013_Fertility_Rate,1438.2184488086205,1489.5890990344174,0.9655135431246802,0.33559,
2013_Population,-6.886431033045249e-06,8.431994917081456e-06,-0.8167024649285286,0.41518,
Constant,-91805.11644672928,19714.952998611767,-4.656623652777349,1e-05,***
