Country Name,2013_GDP_per_Capita,2013_Life_Expectancy_at_Birth,2013_Fertility_Rate,2013_Population,GDP_Per_Capita_log_value,Life_Expectancy_at_Birth_log_value,Fertility_Rate_log_value,Population_log_value
Afghanistan,678.671,60.93141463,4.9,30682500,6.520136474050681,4.109748881289425,1.589235205116581,17.2392030174538
Angola,5964.473000000001,51.86617073,5.8629999999999995,23448202,8.693575981928285,3.9486667612695423,1.7686614179820779,16.97030437614299
Albania,4564.518,77.5372439,1.771,2897366,8.426068201474193,4.350758387375839,0.5715443588006964,14.879312606362177
United Arab Emirates,44551.972,77.13129268,1.801,9039978,10.704411696790226,4.345509069561721,0.588342066193819,16.01716729873708
Argentina,14708.613000000001,76.18729268,2.175,42538304,9.596188519551028,4.333194686056491,0.7770286645406473,17.56591549858241
Armenia,3173.083,74.5407561,1.74,2992192,8.062458949450972,4.311346037546755,0.5538851132264376,14.911516787140622
Antigua and Barbuda,13733.958,75.82929268,2.089,89985,9.52762673107197,4.3284846649626285,0.7366854825744287,11.407398268755303
Australia,64578.19,82.19756098,1.921,23125868,11.075632016666477,4.409125629845763,0.6528458837864196,16.95646237579347
Austria,49038.959,80.8902439,1.44,8479375,10.800370342815453,4.39309322223115,0.36464311358790924,15.95314730222171
Azerbaijan,7899.595,70.69314634,2.0,9416801,8.974566771318191,4.25834862817525,0.6931471805599453,16.05800599227359
Burundi,303.004,54.09719512,6.0329999999999995,10465959,5.713746006742364,3.9907823382976537,1.7972443994586247,16.163638548459645
Belgium,45537.619000000006,80.38536585,1.79,11182817,10.726294054544258,4.386832142826809,0.5822156198526637,16.229888961752316
Benin,805.125,59.28756098,4.845,10322232,6.690997544867055,4.0823995197505045,1.5779472453427295,16.149810573702513
Burkina Faso,710.9830000000001,56.27502439,5.605,17084554,6.566648519531458,4.030250820200076,1.7236590565241232,16.653685338420527
Bangladesh,1033.006,70.69339024,2.177,157157394,6.940228277428036,4.25835207829159,0.7779477822524105,18.872758370689617
Bulgaria,7328.488,74.46585366,1.5,7265115,8.899524498023155,4.31034068018134,0.4054651081081644,15.79859468417989
Bahrain,27925.546000000002,76.66987805,2.075,1349427,10.237297176118682,4.33950890698652,0.7299611536826617,14.115190615868128
Bahamas,23639.492000000002,75.07256098,1.8880000000000001,377841,10.07067398228745,4.318455125562767,0.635518067723309,12.842228751189406
Bosnia and Herzegovina,4619.872,76.27990244,1.2830000000000001,3823533,8.43812227806427,4.334409501759192,0.2492010856334995,15.156685422264793
Belarus,7577.081999999999,72.47073171,1.62,9466000,8.932883444097968,4.283182779799899,0.4824261492442928,16.063216989448332
Belize,4618.858,73.90487805,2.676,344193,8.437902767373068,4.302778834571341,0.984323142265982,12.748957825539412
Bolivia,2792.901,67.21736585,3.221,10399931,7.93483611955971,4.207931634531212,1.1696918703490617,16.157309729474207
Brazil,11172.523000000001,73.88595122,1.801,204259377,9.321212739431578,4.302522704604455,0.588342066193819,19.134901200075305
Barbados,15172.568000000001,75.29641463,1.849,282503,9.627244339492684,4.3214325191968115,0.6146449524049877,12.551444448981274
Brunei Darussalam,39658.804,78.56643902,1.994,411499,10.58806824529028,4.36394462377296,0.6901426715396466,12.927561868962652
Bhutan,2633.136,68.30231707,2.2319999999999998,754637,7.875930810270247,4.223943690891499,0.8028980445190644,13.53399211791034
Botswana,7119.93,47.40560976,2.6189999999999998,2176510,8.870653172897018,3.8587405710653857,0.9627925655255748,14.593233234496441
Central African Republic,333.60400000000004,50.13680488,4.365,4710678,5.809954660820381,3.914755366726813,1.4736181892915656,15.365342404677516
Canada,52037.148,81.40112195,1.61,35158304,10.859713127127723,4.399389056083041,0.4762341789963717,17.37537139298529
Switzerland,81276.12599999999,82.74878049,1.52,8089346,11.305607599274845,4.415809276867611,0.41871033485818504,15.906058445223021
Chile,15775.713,79.83680488,1.82,17575833,9.666226884486267,4.37998461216435,0.598836501088704,16.682035391408363
China,6958.686,75.35302439,1.6680000000000001,1357380000,8.847745942401355,4.322184062156849,0.5116253039365551,21.028822208074995
Côte d'Ivoire,1332.0510000000002,50.75741463,4.8660000000000005,21622490,7.194475138655645,3.9270577083339164,1.582272244361331,16.889244534681485
Cameroon,1330.6570000000002,55.04180488,4.78,22211166,7.1934280842078,4.0080929852386005,1.5644405465033646,16.916105693366973
Republic of Congo,3222.765,58.77,4.968999999999999,4394334,8.077994965722436,4.073631520624559,1.6032186126201835,15.295826541782523
Colombia,8030.715,73.97882927,2.286,47342363,8.991028844072774,4.303778961326402,0.8268035653726189,17.67291607630923
Comoros,927.847,60.8574878,4.7139999999999995,751697,6.832866848503879,4.108534865273111,1.5505368045139392,13.530088596203758
Cabo Verde,3633.134,74.87068293,2.292,507258,8.197850915658808,4.315762397745003,0.8294247988524931,13.136775028879615
Costa Rica,10528.181,79.921,1.795,4706433,9.261810845666554,4.38103864677453,0.5850050219402422,15.364440854236511
Cyprus,24866.778,79.80431707,1.4609999999999999,1141652,10.121287974725517,4.379577601614039,0.37912113276856235,13.947986894212505
Czech Republic,18871.009,78.27804878,1.45,10514272,9.845382108051243,4.36026721605472,0.371563556432483,16.168244130295115
Germany,44999.496,81.04390244,1.38,80645605,10.714406568689736,4.394991013272647,0.3220834991691132,18.205574866320283
Djibouti,1592.86,61.78695122,3.387,864554,7.373286421553316,4.123692196861893,1.2199445738356347,13.669969046006635
Denmark,59129.127,80.30243902,1.73,5614932,10.987478924626737,4.38579999433951,0.5481214085096876,15.540940035662826
Dominican Republic,5881.5509999999995,73.45095122,2.484,10281408,8.679575781620233,4.296617853114653,0.9098701640712323,16.14584777359299
Algeria,5605.6269999999995,71.00965854,2.795,38186135,8.631526193656684,4.262815903563936,1.0278321066070624,17.45798304957638
Ecuador,5942.815,76.46507317,2.559,15661312,8.689938205822743,4.336834076708018,0.9396165571776518,16.566704025349612
Egypt,3242.857,71.13292683,2.77,87613909,8.084210010361316,4.264550335515923,1.0188473201992472,18.288450321841456
Eritrea,544.259,62.75463415,4.696000000000001,4998824,6.2994252364960746,4.139232426281058,1.5467110825257955,15.424713242734517
Spain,29150.345,82.42682927,1.32,46620045,10.280222027043079,4.411910981856814,0.27763173659827955,17.657541156822386
Estonia,18852.091,76.42439024,1.56,1317997,9.844379115106022,4.336301889204016,0.44468582126144574,14.091623717865975
Ethiopia,517.7130000000001,63.61734146,4.519,94558374,6.249421034660765,4.152886097645285,1.5082907304291426,18.364727916042746
Finland,49055.030999999995,80.83170732,1.8,5438972,10.800698028541028,4.3923693058782405,0.5877866649021191,15.5091006303867
Fiji,4578.468,69.923,2.588,880487,8.429119723334763,4.247394636605326,0.9508853766386541,13.68823044247096
France,44098.695,81.96829268,2.01,65925498,10.694185469160356,4.406332497852193,0.6981347220709843,18.004035844213774
Micronesia,3215.178,68.96097561,3.2939999999999996,103718,8.075638000613447,4.2335407737321615,1.1921026317554484,11.549430956782537
Gabon,12326.198999999999,63.441,4.087,1650351,9.41948227612657,4.1501103401279575,1.4078112045821403,14.316498550526253
United Kingdom,39371.653,80.95609756,1.92,64106779,10.580801369340357,4.393907002302299,0.6523251860396901,17.976060672929325
Georgia,3596.737,74.0795122,1.817,4487200,8.187782324536522,4.305139005543026,0.5971867894140341,15.316739457176265
