,Estimation Statistics
r**2,0.3487166664430039
Adj. r**2,0.33773998104597347
f-stat,31.768849505098913
EST Var,258573898.25016347
MSE,16080.233152854578
SSE,46026153888.5291
SSR,24643785778.36878
SST,70669939666.8977
Obs.,182.0
DOF,178.0
